n,r,m
(:Entity {name: Abhidhana Ratnamala}),[:REL {type: Written By}],(:Entity {name: Halayudha Bhatta})
(:Entity {name: Abhidhana Ratnamala}),[:REL {type: Editor}],(:Entity {name: Aufrecht})
(:Entity {name: Abhidhana Chintamani}),[:REL {type: Written By}],(:Entity {name: Hemachandra})
(:Entity {name: Abhidhana Chintamani}),[:REL {type: Editor}],(:Entity {name: Colebrooke})
(:Entity {name: Abhidhana Chintamani}),[:REL {type: Editor}],(:Entity {name: Böhtlingk})
(:Entity {name: Abhidhana Chintamani}),[:REL {type: Editor}],(:Entity {name: Rieu})
(:Entity {name: Agni}),[:REL {type: Eldest Son Of}],(:Entity {name: Brahma})
(:Entity {name: Agni}),[:REL {type: Husband Of}],(:Entity {name: Swaha})
(:Entity {name: Agni}),[:REL {type: Father Of}],(:Entity {name: Pavaka})
(:Entity {name: Agni}),[:REL {type: Father Of}],(:Entity {name: Pavamana})
(:Entity {name: Agni}),[:REL {type: Father Of}],(:Entity {name: Suchi})
(:Entity {name: Agni}),[:REL {type: Gave Bow To}],(:Entity {name: Arjuna})
(:Entity {name: Agni}),[:REL {type: Appears In Heaven As}],(:Entity {name: Sun})
(:Entity {name: Agni}),[:REL {type: Baffled}],(:Entity {name: Indra})
(:Entity {name: Agni}),[:REL {type: Communicated Purana To}],(:Entity {name: Vasishtha})
(:Entity {name: Agni}),[:REL {type: Is}],(:Entity {name: Fire})
(:Entity {name: Agni}),[:REL {type: Appears In Mid-air As}],(:Entity {name: Lightning})
(:Entity {name: Agni}),[:REL {type: Appears  On Earth As}],(:Entity {name: Ordinary Fire})
(:Entity {name: Agni}),[:REL {type: Is One Of Chief Deities of the}],(:Entity {name: Vedas})
(:Entity {name: Agni}),[:REL {type: Is One Of}],(:Entity {name: Three Great Deities})
(:Entity {name: Agni}),[:REL {type: Presides Over}],(:Entity {name: Earth})
(:Entity {name: Agni}),[:REL {type: Considered}],(:Entity {name: Mediator Between Men and Gods})
(:Entity {name: Agni}),[:REL {type: Considered}],(:Entity {name: Protector of Men and Their Homes})
(:Entity {name: Agni}),[:REL {type: Considered}],(:Entity {name: Witness of Men’s Actions})
(:Entity {name: Agni}),[:REL {type: Invoked At}],(:Entity {name: Solemn Occasions and Nuptial Ceremony})
(:Entity {name: Agni}),[:REL {type: Represented With}],(:Entity {name: Seven Tongues})
(:Entity {name: Agni}),[:REL {type: Guardian Of}],(:Entity {name: South-East Quarter})
(:Entity {name: Agni}),[:REL {type: One Of Eight}],(:Entity {name: Lokapalas})
(:Entity {name: Agni}),[:REL {type: Region Called}],(:Entity {name: Pura-jyotis})
(:Entity {name: Agni}),[:REL {type: Called}],(:Entity {name: Kravyad})
(:Entity {name: Agni}),[:REL {type: Sharpens}],(:Entity {name: Two Iron Tusks})
(:Entity {name: Agni}),[:REL {type: Swallows}],(:Entity {name: Enemies})
(:Entity {name: Agni}),[:REL {type: Heats}],(:Entity {name: Edges of Shafts})
(:Entity {name: Agni}),[:REL {type: Sends Shafts Into}],(:Entity {name: Hearts of Rakshas})
(:Entity {name: Agni}),[:REL {type: Appears As}],(:Entity {name: Son of Angiras})
(:Entity {name: Agni}),[:REL {type: Appears As}],(:Entity {name: King of Pitris or Manes})
(:Entity {name: Agni}),[:REL {type: Appears As}],(:Entity {name: Marut})
(:Entity {name: Agni}),[:REL {type: Appears As}],(:Entity {name: Grandson of Sandila})
(:Entity {name: Agni}),[:REL {type: Appears As}],(:Entity {name: One of the Seven Sages})
(:Entity {name: Agni}),[:REL {type: Represented As}],(:Entity {name: Star})
(:Entity {name: Agni}),[:REL {type: Devoured Too Many}],(:Entity {name: Oblations})
(:Entity {name: Agni}),[:REL {type: Desired to Consume}],(:Entity {name: Khandava Forest})
(:Entity {name: Agni}),[:REL {type: Called}],(:Entity {name: Abhimani})
(:Entity {name: Agni}),[:REL {type: Carries}],(:Entity {name: Flaming Javelin})
(:Entity {name: Agni}),[:REL {type: Borne In}],(:Entity {name: Chariot Drawn by Red Horses})
(:Entity {name: Agni}),[:REL {type: Accompanied By}],(:Entity {name: Ram})
(:Entity {name: Agni}),[:REL {type: Vahana}],(:Entity {name: Ram})
(:Entity {name: Agni}),[:REL {type: Took form of}],(:Entity {name: Pigeon})
(:Entity {name: Agni}),[:REL {type: Also Known As}],(:Entity {name: Vaisvanara})
(:Entity {name: Brahma}),[:REL {type: released}],(:Entity {name: Indra})
(:Entity {name: Brahma}),[:REL {type: granted boon to}],(:Entity {name: Ravana})
(:Entity {name: Brahma}),[:REL {type: Stopped quarrel of}],(:Entity {name: Soma and Brihaspati})
(:Entity {name: Brahma}),[:REL {type: Embodiment Of}],(:Entity {name: Rajoguna})
(:Entity {name: Brahma}),[:REL {type: Vahana}],(:Entity {name: Hamsa})
(:Entity {name: Swaha}),[:REL {type: Mother Of}],(:Entity {name: Pavaka})
(:Entity {name: Swaha}),[:REL {type: Mother Of}],(:Entity {name: Pavamana})
(:Entity {name: Swaha}),[:REL {type: Mother Of}],(:Entity {name: Suchi})
(:Entity {name: Swaha}),[:REL {type: Daughter Of}],(:Entity {name: Daksha})
(:Entity {name: Swaha}),[:REL {type: Wife Of}],(:Entity {name: Abhimani})
(:Entity {name: Swaha}),[:REL {type: Wife Of}],(:Entity {name: Vahni})
(:Entity {name: Swaha}),[:REL {type: Daughter Of}],(:Entity {name: Prasuti})
(:Entity {name: Abhimanyu}),[:REL {type: Son Of}],(:Entity {name: Arjuna})
